Time,TI3104_Meas - OP Value,TI3107_Meas - OP Value,TI3105_Meas - OP Value,TC3106_Meas - OP Value,TI3108_Meas - OP Value,TI3101_Meas - OP Value,PI3102_Meas - OP Value,PI3103_Meas - OP Value,FC3101_Meas - OP Value,FI3105_Meas - OP Value,FI3104_Meas - OP Value,FC3103_Meas - OP Value,FC3102_Meas - OP Value,LC3103_Meas - OP Value,LC3101_Meas - OP Value,QI3105 - PV,QI3104 - PV
27480,52.8912,61.0367,69.8547,76.2834,98.0522,52.6311,16.8707,17.0664,12.0501,7.12994,4.78453,11.1812,1.98452,-0.52425,-0.295,97.1133,96.3595
27420,53.5377,61.4097,69.0622,76.4197,98.1709,51.8195,16.8872,17.0791,12.0655,7.18469,4.79926,11.2121,1.99075,-0.05875,-0.20725,97.1133,96.3595
27360,54.9558,62.4821,69.1728,75.49,97.422,51.9431,16.9118,17.049,11.9471,7.20563,4.76626,11.323,2.01311,0.07925,0.056,97.1133,96.3595
27300,53.9614,61.6433,69.7572,76.9764,98.605,52.5491,16.8891,17.0964,12.107,7.15591,4.81255,11.246,1.99789,0.2055,-0.1395,97.1133,96.3595
27240,54.7379,63.3643,68.505,76.114,97.9204,51.2747,16.9298,17.0674,12.0183,7.26425,4.82783,11.4144,2.02314,0.05275,0.271,97.1133,96.3595
27180,54.6528,61.3858,69.4265,75.7926,97.6654,52.2201,16.8783,17.0535,12.0094,7.11911,4.81592,11.2199,2.00289,-0.38225,-0.056033,97.0609,96.2991
27120,54.4331,61.5218,69.3521,75.549,97.4589,52.1533,16.869,17.0327,11.9777,7.15399,4.8053,11.239,1.98877,-0.086,0.0246389,97.0609,96.2991
27060,53.3545,61.0219,69.9128,76.0031,97.8406,52.6964,16.8579,17.0453,11.9975,7.2877,4.80589,11.1574,1.94222,0.258,-0.29125,97.0609,96.2991
27000,53.7411,62.0975,70.2635,75.8056,97.6886,53.0322,16.8857,17.0378,11.9445,7.29911,4.78881,11.2772,1.96772,0.305704,-0.05,97.0609,96.2991
26940,53.3657,61.4184,69.4928,76.717,98.4269,52.2289,16.8778,17.0753,12.0673,7.29442,4.80713,11.211,1.96664,0.330383,-0.22075,97.0609,96.2991
26880,53.2564,62.4161,68.9723,75.6413,97.5668,51.6979,16.9097,17.0481,11.9626,7.19371,4.70418,11.3453,2.02866,0.205823,0.016,97.3971,96.7722
26820,54.3435,61.2954,70.2219,75.6596,97.5734,52.9844,16.883,17.0505,11.9514,7.22978,4.78395,11.1833,1.96985,-0.169858,-0.24125,97.3971,96.7722
26760,54.1422,63.6431,69.6925,75.8932,97.7508,52.4569,16.9376,17.0583,11.9623,7.24822,4.79762,11.4541,2.04123,0.02475,0.32375,97.3971,96.7722
26700,53.2587,64.478,70.2148,75.8565,97.7233,52.9911,16.9605,17.0609,11.9503,7.16506,4.76092,11.5692,2.09637,-0.0905,0.52475,97.3971,96.7722
26640,54.0373,60.7195,69.9697,75.0934,97.1019,52.7559,16.8655,17.0314,11.9267,7.11356,4.72283,11.1426,1.98241,-0.45825,-0.362,97.3971,96.7722
26580,53.5514,62.3124,69.3514,76.9466,98.5829,52.1312,16.9037,17.0933,12.1145,7.13026,4.8107,11.3273,2.02778,-0.12925,0.017,96.993,96.3194
26520,54.9323,61.423,69.2104,75.0319,97.0675,51.9801,16.8867,17.0339,11.9036,7.33619,4.79565,11.1772,1.9577,0.15575,-0.194749,96.993,96.3194
26460,54.727,61.5096,68.7531,76.1526,97.9452,51.535,16.8767,17.0607,12.0449,7.19592,4.83938,11.2212,1.98214,0.12625,-0.035328,96.993,96.3194
26400,54.3769,62.4816,68.9176,75.5173,97.4316,51.6989,16.8919,17.0299,11.9616,7.20797,4.76442,11.3354,2.00147,0.02975,0.0635,96.993,96.3194
26340,53.229,65.3044,69.5431,77.6614,99.1617,52.3117,16.9647,17.1041,12.134,7.17699,4.83985,11.669,2.09642,0.301751,0.72075,96.993,96.3194
26280,54.3168,63.6731,69.4175,76.4206,98.1808,52.166,16.9333,17.0691,12.019,7.27555,4.81595,11.4566,2.03325,-0.00620639,0.3245,97.1369,96.2751
26220,53.8399,63.3198,69.5717,76.8846,98.5495,52.327,16.929,17.0894,12.0859,7.0832,4.77194,11.4524,2.06728,-0.269521,0.242,97.1369,96.2751
26160,53.2386,62.0008,68.8853,76.414,98.1699,51.6334,16.8996,17.0764,12.0652,7.16995,4.79064,11.2852,2.01299,-0.213379,-0.0685,97.1369,96.2751
26100,52.8569,61.1786,69.4323,76.8046,98.4765,52.2022,16.8787,17.0899,12.1116,7.09674,4.78421,11.208,2.00682,-0.125,-0.256,97.1369,96.2751
26040,52.8166,62.2424,68.932,77.8983,99.3443,51.7017,16.9,17.123,12.2122,7.31271,4.92597,11.2932,1.99615,0.3695,0.030069,97.1369,96.2751
25980,53.2535,63.2682,68.8994,76.6647,98.3525,51.6735,16.9201,17.0779,12.0965,7.05693,4.82149,11.4487,2.07099,-0.48625,0.384264,97.6154,96.6228
25920,53.3782,60.4912,70.2126,76.6275,98.3305,53,16.8558,17.0768,12.0618,7.27617,4.83318,11.0957,1.93538,0.3085,-0.4205,97.6154,96.6228
25860,54.0363,61.1926,68.8588,76.9227,98.571,51.6181,16.8754,17.0897,12.1082,7.35481,4.87754,11.1599,1.94466,0.49825,-0.25375,97.6154,96.6228
25800,55.0487,61.8633,70.1363,76.5863,98.3049,52.9149,16.8935,17.0803,12.0377,7.28089,4.84877,11.2383,1.96838,0.18825,-0.0965,97.6154,96.6228
25740,53.4836,61.4434,69.3208,75.2024,97.1928,52.0917,16.8829,17.0343,11.9324,7.16803,4.72829,11.2204,1.99135,-0.04,-0.19325,97.6154,96.6228
25680,54.7804,63.1895,69.1536,76.4834,98.2213,51.9199,16.9243,17.0766,12.0504,7.20854,4.8231,11.4094,2.03363,-0.14725,0.222,97.133,96.618
25620,53.3201,61.4337,68.4332,75.5838,97.4946,51.1959,16.8783,17.044,12.0051,7.10959,4.77319,11.2343,2.0084,-0.174,-0.0621463,97.133,96.618
25560,54.178,64.0957,68.7225,76.0372,97.8503,51.4884,16.9365,17.0521,11.9813,7.37364,4.83487,11.4925,2.01706,0.55975,0.43975,97.133,96.618
25500,54.1413,61.871,69.2538,78.0259,99.4547,52.0156,16.8916,17.1253,12.223,7.19456,4.88689,11.2637,1.99025,-0.03225,-0.09775,97.133,96.618
25440,53.4097,61.02,70.4637,75.0724,97.1047,53.2404,16.8781,17.0335,11.8882,7.21485,4.72647,11.1654,1.97068,0.12675,-0.3035,97.133,96.618
25380,54.2124,62.3539,69.7619,76.9753,98.6191,52.5438,16.9065,17.0958,12.1034,7.11939,4.8123,11.3362,2.03179,0.0335,0.059262,97.2183,96.4745
25320,55.0525,62.7281,69.8665,76.4728,98.2169,52.6535,16.9108,17.0749,12.0352,7.2893,4.89861,11.3389,2.00151,-0.04875,0.217567,97.2183,96.4745
25260,53.2818,60.1289,69.6495,75.5289,97.4517,52.4374,16.8401,17.0347,11.9907,7.10586,4.80186,11.086,1.96191,-0.38275,-0.272389,97.2183,96.4745
25200,53.2079,63.1057,69.3008,76.8005,98.4687,52.0701,16.909,17.0724,12.0788,7.18051,4.79934,11.4177,2.0258,0.0915,0.1995,97.2183,96.4745
25140,54.8275,61.959,69.6814,76.7209,98.4305,52.4277,16.896,17.0817,12.0616,7.33684,4.83773,11.2548,1.97435,0.0169164,-0.08875,97.2183,96.4745
25080,53.1751,61.7468,68.7894,77.0375,98.6863,51.5267,16.8957,17.0988,12.1406,7.16079,4.79249,11.2681,2.0206,-0.174939,-0.1335,96.9624,96.3325
25020,53.4484,61.9424,70.1231,76.6415,98.357,52.9057,16.8942,17.0816,12.0646,7.10461,4.78562,11.2873,2.01715,-0.053,-0.0359136,96.9624,96.3325
